Date,Total_Applications,Interviews_Conducted,Offers_Made,Offers_Accepted
2023-12-31 00:33:48.248103,202,65,10,19
2024-01-31 00:33:48.248103,279,69,21,19
2024-02-29 00:33:48.248103,192,53,19,10
2024-03-31 00:33:48.248103,114,32,15,19
2024-04-30 00:33:48.248103,206,51,22,14
2024-05-31 00:33:48.248103,171,31,21,11
2024-06-30 00:33:48.248103,288,53,18,16
2024-07-31 00:33:48.248103,120,73,10,10
2024-08-31 00:33:48.248103,202,59,20,12
2024-09-30 00:33:48.248103,221,67,20,10
2024-10-31 00:33:48.248103,174,31,24,14
2024-11-30 00:33:48.248103,187,50,19,12
